route_id,agency_id,route_short_name,route_long_name,route_type
7485266,0,313,Trotro 313 : Kwashieman → A Lang,3
7485322,0,313,Trotro 313 : A Lang → Kwashieman,3
7485362,0,314,Trotro 314 : Kwashieman → Achimota,3
7485396,0,314,Trotro 314 : Achimota → Kwashieman,3
7485401,0,317,Trotro 317 : Kwashieman → Abeka Lapaz,3
7485406,0,317,Trotro 317 : Abeka Lapaz → Kwashieman,3
7485479,0,271,Trotro 271 : Kaneshie → Chorkor,3
7485569,0,310,Trotro 310 : Kotobabi Down → Abeka Lapaz,3
7485604,0,271,Trotro 271 : Chorkor → Kaneshie,3
7485960,0,310,Trotro 310 : Abeka Lapaz → Kotobabi Down,3
7486056,0,307,Trotro 307 : Kotobabi Down → 37,3
7486142,0,307,Trotro 307 : 37 → Kotobabi Down,3
7487993,0,274,Trotro 274 : Kaneshie → Maamobi,3
7488056,0,274,Trotro 274 : Maamobi → Kaneshie,3
7488101,0,273,Trotro 273 : Kaneshie → Korlebu,3
7488142,0,273,Trotro 273 : Korlebu → Kaneshie,3
7488222,0,272,Trotro 272 : Kaneshie → Good Shepherd,3
7488258,0,270,Trotro 270 : Kaneshie → Camara,3
7488287,0,270,Trotro 270 : Camara → Kaneshie,3
7488437,0,269,Trotro 269 : Kaneshie → Bubuashie,3
7488446,0,269,Trotro 269 : Bubuashie → Kaneshie,3
7488505,0,267,Trotro 267 : Kaneshie → Appiah Danquah/ Soko,3
7488563,0,267,Trotro 267 : Appiah Danquah/ Soko → Kaneshie,3
7488596,0,266,Trotro 266 : Kaneshie → Afropa,3
7488646,0,265,Trotro 265 : Kaneshie → Sukura,3
7488659,0,265,Trotro 265 : Sukura → Kaneshie,3
7488728,0,243,Trotro 243 : Dansoman → Santa Maria,3
7488767,0,243,Trotro 243 : Santa Maria → Dansoman,3
7492875,0,254,Trotro 254 : Dzorwulu → Circle,3
7492898,0,254,Trotro 254 : Circle → Dzorwulu,3
7492973,0,255,Trotro 255 : East Legon → Circle,3
7492987,0,255,Trotro 255 : Circle → East Legon,3
7493136,0,262,Trotro 262 : Glefe → Accra Bishop,3
7493196,0,262,Trotro 262 : Accra Bishop → Glefe,3
7495665,0,176,Trotro 176 : Bubiashie Control (Old Station ) → Circle,3
